시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,탈압박,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2021,울산,27R,서울(A),3,임종은,DF,36,95,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,50,45,90,0,25,21,84,3,3,100.0,22,21,95.4,2,1,50.0,22,20,90.9,26,24,92.3,5,3,60.0,29,26,89.7,16,16,100.0,0,0,0.0,2,2,100.0,3,0,0.0,2,1,50.0,4,0,3,2,2,0,1,0,0,0,0,2021.0,서울(A),3.0,right,CB2,정발
2021,울산,27R,서울(A),4,불투이스,DF,4,95,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100,51,44,86,0,26,20,77,7,7,100.0,18,17,94.4,2,1,50.0,27,23,85.2,22,20,90.9,9,5,55.6,23,21,91.3,19,18,94.7,1,0,0.0,6,3,50.0,3,0,0.0,2,1,50.0,3,3,0,8,2,0,0,2,0,0,0,2021.0,서울(A),4.0,left,CB1,정발
2021,울산,27R,서울(A),5,설영우,DF,66,95,0,0,0,0,0,0,0,0,1,0,0,4,1,1,100,60,54,90,0,15,10,67,19,19,100.0,26,25,96.2,8,8,100.0,13,10,76.9,39,36,92.3,9,8,88.9,16,13,81.2,35,33,94.3,0,0,0.0,9,4,44.4,6,4,66.7,0,0,0.0,3,2,10,7,0,1,0,0,0,0,1,2021.0,서울(A),5.0,right,LB,정발x
2021,울산,28R,인천(H),2,홍철,DF,33,100,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,71,56,79,2,18,11,61,23,22,95.6,30,23,76.7,31,23,74.2,12,6,50.0,28,27,96.4,12,8,66.7,27,21,77.8,32,27,84.4,11,3,27.3,9,5,55.6,2,0,0.0,2,0,0.0,1,3,2,8,0,1,1,2,0,0,2,2021.0,인천(H),2.0,left,LB,정발
2021,울산,28R,인천(H),3,불투이스,DF,4,100,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60,53,88,0,33,27,82,2,2,100.0,25,24,96.0,2,0,0.0,18,17,94.4,40,36,90.0,7,6,85.7,24,21,87.5,29,26,89.7,0,0,0.0,3,3,100.0,2,0,0.0,1,1,100.0,2,2,1,4,0,0,1,0,0,0,0,2021.0,인천(H),3.0,left,CB1,정발
2021,울산,28R,인천(H),4,김기희,DF,44,70,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,42,39,93,0,20,17,85,0,0,0.0,22,22,100.0,0,0,0.0,11,11,100.0,31,28,90.3,3,3,100.0,26,23,88.5,13,13,100.0,0,0,0.0,3,2,66.7,5,3,60.0,0,0,0.0,1,1,2,1,1,0,1,0,0,0,0,2021.0,인천(H),4.0,right,CB2,정발
2021,울산,28R,인천(H),5,김태환,DF,23,81,0,0,1,0,0,1,0,1,0,1,0,12,2,0,0,56,44,79,0,23,15,65,16,15,93.8,17,14,82.4,28,20,71.4,4,4,100.0,24,20,83.3,4,3,75.0,14,10,71.4,38,31,81.6,5,0,0.0,5,2,40.0,2,1,50.0,0,0,0.0,0,1,2,5,0,0,0,0,0,0,0,2021.0,인천(H),5.0,right,RB,정발
2021,울산,29R,전북(H),2,김기희,DF,44,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,47,89,0,22,18,82,1,1,100.0,30,28,93.3,1,0,0.0,22,19,86.4,30,28,93.3,13,8,61.5,22,22,100.0,18,17,94.4,0,0,0.0,2,1,50.0,4,2,50.0,0,0,0.0,1,2,3,8,0,0,0,0,0,0,0,2021.0,전북(H),2.0,right,CB2,정발
2021,울산,29R,전북(H),3,설영우,DF,66,93,0,0,1,0,0,1,0,1,0,1,0,8,1,1,100,58,44,76,1,20,11,55,23,23,100.0,15,10,66.7,24,17,70.8,12,8,66.7,22,19,86.4,5,4,80.0,15,10,66.7,38,30,79.0,4,0,0.0,13,8,61.5,2,0,0.0,5,2,40.0,1,4,3,4,0,0,4,2,0,0,0,2021.0,전북(H),3.0,right,LB,정발x
2021,울산,29R,전북(H),4,불투이스,DF,4,93,0,0,1,0,0,1,1,0,0,3,0,0,1,1,100,61,53,87,0,37,30,81,7,7,100.0,17,16,94.1,8,4,50.0,15,12,80.0,38,37,97.4,5,2,40.0,29,25,86.2,27,26,96.3,4,1,25.0,3,3,100.0,5,2,40.0,3,2,66.7,2,1,5,6,0,0,1,1,1,0,1,2021.0,전북(H),4.0,left,CB1,정발
